Date|Close|Open|High|Low|Volume|Change
2021-09-01|2,917.95|2,917.19|2,927.48|2,898.42|48.76M|-0.04%
2021-09-02|2,888.44|2,912.09|2,917.96|2,880.02|45.94M|-1.01%
2021-09-03|2,915.72|2,899.25|2,916.44|2,891.51|48.13M|0.94%
2021-09-06|2,919.89|2,912.58|2,921.77|2,903.38|40.23M|0.14%
2021-09-07|2,898.62|2,915.37|2,915.37|2,889.28|35.76M|-0.73%
2021-09-08|2,868.31|2,887.08|2,892.86|2,859.78|63.07M|-1.05%
2021-09-09|2,815.22|2,846.56|2,858.58|2,810.72|78.90M|-1.85%
2021-09-10|2,821.60|2,818.32|2,830.22|2,805.34|57.87M|0.23%
2021-09-13|2,825.58|2,810.71|2,834.52|2,804.15|51.33M|0.14%
2021-09-14|2,842.00|2,832.57|2,859.15|2,831.30|78.13M|0.58%
2021-09-15|2,843.40|2,839.36|2,856.25|2,829.38|53.44M|0.05%
2021-09-16|2,813.39|2,852.00|2,854.66|2,809.51|49.31M|-1.06%
2021-09-17|2,826.56|2,810.05|2,828.55|2,798.64|56.77M|0.47%
2021-09-23|2,825.27|2,814.16|2,827.21|2,805.06|67.59M|-0.05%
2021-09-24|2,824.39|2,836.02|2,841.23|2,819.50|51.61M|-0.03%
2021-09-27|2,831.18|2,820.70|2,842.57|2,818.39|42.58M|0.24%
2021-09-28|2,795.88|2,829.37|2,831.23|2,792.84|58.41M|-1.25%
2021-09-29|2,756.40|2,756.84|2,771.00|2,733.28|68.12M|-1.41%
2021-09-30|2,771.92|2,751.25|2,782.95|2,742.48|58.64M|0.56%
2021-10-01|2,728.53|2,762.01|2,764.99|2,724.03|50.03M|-1.57%
2021-10-05|2,671.97|2,706.94|2,706.94|2,655.55|74.06M|-2.07%
2021-10-06|2,640.20|2,692.29|2,705.64|2,640.20|66.98M|-1.19%
2021-10-07|2,681.70|2,666.89|2,687.87|2,659.26|55.87M|1.57%
2021-10-08|2,680.16|2,699.69|2,700.06|2,675.19|55.22M|-0.06%
2021-10-12|2,628.76|2,671.42|2,671.63|2,616.89|76.82M|-1.92%
2021-10-13|2,650.66|2,623.28|2,662.11|2,620.33|59.08M|0.83%
2021-10-14|2,691.05|2,673.82|2,691.36|2,667.90|56.24M|1.52%
2021-10-15|2,714.93|2,714.26|2,724.26|2,702.61|53.89M|0.89%
2021-10-18|2,706.56|2,716.07|2,722.36|2,691.03|39.88M|-0.31%
2021-10-19|2,735.86|2,722.75|2,737.56|2,716.97|36.85M|1.08%
2021-10-20|2,729.11|2,751.81|2,756.61|2,729.05|47.47M|-0.25%
2021-10-21|2,723.16|2,727.27|2,739.98|2,717.13|44.79M|-0.22%
2021-10-22|2,728.65|2,721.04|2,738.14|2,711.99|33.21M|0.20%
2021-10-25|2,734.32|2,722.47|2,742.79|2,704.68|41.77M|0.21%
2021-10-26|2,766.45|2,755.01|2,770.96|2,745.32|41.40M|1.18%
2021-10-27|2,744.45|2,763.88|2,766.80|2,737.09|40.82M|-0.80%
2021-10-28|2,739.73|2,741.97|2,766.29|2,739.73|71.35M|-0.17%
2021-10-29|2,697.46|2,754.18|2,760.00|2,693.45|56.44M|-1.54%
2021-11-01|2,712.14|2,710.71|2,721.89|2,701.43|38.66M|0.54%
2021-11-02|2,745.92|2,728.98|2,769.28|2,728.98|44.71M|1.25%
2021-11-03|2,708.10|2,751.04|2,751.53|2,701.03|46.48M|-1.38%
2021-11-04|2,726.29|2,733.76|2,748.83|2,720.13|50.26M|0.67%
2021-11-05|2,718.08|2,748.15|2,748.54|2,700.79|49.50M|-0.30%
2021-11-08|2,708.29|2,717.61|2,717.61|2,680.40|47.23M|-0.36%
