Date|Close|Open|High|Low|Volume|Change|Value
1996-11-04|747.42|765.77|765.77|747.41|30.65M|-2.39%|0
1996-11-05|733.65|744.63|744.63|726.14|32.85M|-1.84%|0
1996-11-06|747.29|733.6|747.29|733.6|31.68M|1.86%|1
1996-11-07|741.76|748.68|752.2|738.26|37.68M|-0.74%|0
1996-11-08|739.11|740.82|756.07|739.11|26.00M|-0.36%|0
1996-11-09|730.82|738|745.59|729.41|17.13M|-1.12%|0
1996-11-11|729.53|730.42|730.42|720.01|21.81M|-0.18%|0
1996-11-12|752.54|729.52|752.65|729.52|28.09M|3.15%|1
1996-11-13|747.32|753.05|757.72|743.71|23.19M|-0.69%|0
1996-11-14|743.03|746.53|749.49|743.02|21.13M|-0.57%|0
1996-11-15|750.29|742.44|752.03|741.64|22.97M|0.98%|1
1996-11-16|756.67|750.99|757.33|750.99|16.70M|0.85%|1
1996-11-18|750.82|755.88|759.08|746.97|22.48M|-0.77%|0
1996-11-19|747.05|750.25|754.71|747.04|19.13M|-0.50%|0
1996-11-20|744.14|746.74|750.18|742.1|25.14M|-0.39%|0
1996-11-21|744.91|743.65|750|743.36|23.89M|0.10%|1
1996-11-22|731.44|744.51|744.51|730.1|24.23M|-1.81%|0
1996-11-25|716.45|728.4|729.16|716.45|15.19M|-2.05%|0
1996-11-26|715.97|711.4|721.37|710.49|16.84M|-0.07%|0
1996-11-27|722.62|716.51|727.75|716.51|19.89M|0.93%|1
1996-11-28|736.92|723.97|736.97|723.97|24.95M|1.98%|1
1996-11-29|733.5|737.71|738.89|732.25|22.83M|-0.46%|0
1996-11-30|726.48|732.03|733.36|726.25|14.15M|-0.96%|0
1996-12-02|727.83|724.75|735.15|724.75|23.47M|0.19%|1
1996-12-03|725.59|726.82|732.22|722.18|27.01M|-0.31%|0
1996-12-04|715.87|725.72|728.14|713.59|27.73M|-1.34%|0
1996-12-05|706.3|713.96|714.31|705.96|25.57M|-1.34%|0
1996-12-06|699.89|705.57|713.25|698.12|23.94M|-0.91%|0
1996-12-07|696.11|700.05|704.8|696.11|14.15M|-0.54%|0
1996-12-09|692.17|701.22|707.52|692.15|24.20M|-0.57%|0
1996-12-10|702.83|693.42|702.83|693.42|23.97M|1.54%|1
1996-12-11|704.68|705.99|709.48|704.43|28.04M|0.26%|1
1996-12-12|689.38|705.11|706.01|688.74|25.89M|-2.17%|0
1996-12-13|689.07|690.44|695.72|677.64|26.46M|-0.04%|0
1996-12-14|687.34|689.3|694.11|686.91|14.57M|-0.25%|0
1996-12-16|673.92|686.97|686.97|667.71|22.80M|-1.95%|0
1996-12-17|663.35|675.35|680.09|660.39|31.59M|-1.57%|0
1996-12-18|661.39|662.07|671.43|655.47|31.50M|-0.30%|0
1996-12-19|690.97|668.13|690.97|668.13|30.38M|4.47%|1
1996-12-20|700.87|695.33|703.51|692.47|30.00M|1.43%|1
1996-12-21|693.14|699.46|700.07|693.03|21.51M|-1.10%|0
1996-12-23|684.81|691.98|697.12|684.81|21.54M|-1.20%|0
1996-12-24|677.76|683.11|687.06|677.56|23.78M|-1.03%|0
1996-12-26|659.01|676.21|676.21|655.24|25.46M|-2.77%|0
1996-12-27|651.22|654.82|657.04|643.57|35.10M|-1.18%|0
1997-01-03|653.79|647.67|655.7|635.41|13.94M|0.39%|1
1997-01-04|643.41|653.02|653.02|641.98|14.62M|-1.59%|0
