Date|Close|Change
2010-04-30|1.6|5.26%
2010-05-04|1.68|5.00%
2010-05-05|1.67|-0.60%
2010-05-06|1.67|0.00%
2010-05-07|1.67|0.00%
2010-05-10|1.6|-4.19%
2010-05-11|1.65|3.12%
2010-05-12|1.6|-3.03%
2010-05-13|1.45|-9.37%
2010-05-14|1.72|18.62%
2010-05-17|1.45|-15.70%
2010-05-18|1.78|22.76%
2010-05-19|1.44|-19.10%
2010-05-20|1.7|18.06%
2010-05-21|1.75|2.94%
2010-05-24|1.44|-17.71%
2010-05-25|1.78|23.61%
2010-05-26|1.5|-15.73%
2010-05-27|1.44|-4.00%
2010-05-28|1.45|0.69%
2010-05-31|1.44|-0.69%
2010-06-01|1.85|28.47%
2010-06-02|1.84|-0.54%
2010-06-03|1.46|-20.65%
2010-06-04|1.46|0.00%
2010-06-07|1.82|24.66%
2010-06-08|1.86|2.20%
2010-06-09|1.85|-0.54%
2010-06-10|1.89|2.16%
2010-06-11|1.86|-1.59%
2010-06-12|1.88|1.08%
2010-06-13|1.86|-1.06%
2010-06-17|1.92|3.23%
2010-06-18|1.92|0.00%
2010-06-21|1.89|-1.56%
2010-06-22|1.91|1.06%
2010-06-23|1.89|-1.05%
2010-06-24|1.92|1.59%
2010-06-25|1.84|-4.17%
2010-06-28|1.92|4.35%
2010-06-29|1.9|-1.04%
2010-06-30|1.87|-1.58%
2010-07-01|1.92|2.67%
2010-07-02|1.84|-4.17%
2010-07-05|1.87|1.63%
2010-07-06|1.87|0.00%
2010-07-07|1.87|0.00%
2010-07-08|1.89|1.07%
2010-07-09|1.87|-1.06%
2010-07-12|1.88|0.53%
2010-07-13|1.88|0.00%
2010-07-14|1.87|-0.53%
2010-07-15|1.9|1.60%
2010-07-16|1.84|-3.16%
2010-07-19|1.87|1.63%
2010-07-20|1.9|1.60%
2010-07-21|1.89|-0.53%
2010-07-22|1.91|1.06%
2010-07-23|1.9|-0.52%
2010-07-26|1.96|3.16%
2010-07-27|1.9|-3.06%
2010-07-28|2.03|6.84%
2010-07-29|1.93|-4.93%
2010-07-30|1.95|1.04%
2010-08-02|1.93|-1.03%
2010-08-03|1.93|0.00%
2010-08-04|1.93|0.00%
2010-08-05|1.98|2.59%
2010-08-06|1.93|-2.53%
2010-08-09|1.93|0.00%
2010-08-10|1.91|-1.04%
2010-08-11|1.93|1.05%
2010-08-12|1.91|-1.04%
2010-08-13|1.91|0.00%
2010-08-16|1.92|0.52%
2010-08-17|1.92|0.00%
2010-08-18|1.96|2.08%
2010-08-19|1.96|0.00%
2010-08-20|1.96|0.00%
2010-08-23|1.96|0.00%
2010-08-24|1.96|0.00%
2010-08-25|1.93|-1.53%
2010-08-26|1.86|-3.63%
2010-08-27|1.96|5.38%
2010-08-30|1.87|-4.59%
2010-08-31|1.886|0.86%
2010-09-01|1.85|-1.91%
2010-09-02|2.01|8.65%
2010-09-03|1.87|-6.97%
2010-09-06|1.87|0.00%
2010-09-07|1.95|4.28%
2010-09-08|1.95|0.00%
2010-09-09|1.95|0.00%
2010-09-10|1.87|-4.10%
2010-09-13|1.94|3.74%
2010-09-14|1.87|-3.61%
2010-09-15|1.96|4.81%
2010-09-16|1.94|-1.02%
2010-09-17|1.87|-3.61%
2010-09-19|1.9|1.60%
2010-09-20|1.86|-2.11%
2010-09-21|1.95|4.84%
2010-09-25|1.87|-4.10%
2010-09-26|1.96|4.81%
2010-09-27|1.85|-5.61%
2010-09-28|1.96|5.95%
2010-09-29|1.84|-6.12%
2010-09-30|1.85|0.54%
2010-10-08|1.94|4.86%
2010-10-09|1.92|-1.03%
2010-10-11|1.94|1.04%
2010-10-12|1.96|1.03%
2010-10-13|2.03|3.57%
2010-10-14|2.03|0.00%
2010-10-15|1.874|-7.68%
2010-10-18|1.96|4.59%
2010-10-19|1.91|-2.55%
2010-10-20|1.96|2.62%
2010-10-21|1.94|-1.02%
2010-10-22|1.91|-1.55%
2010-10-25|1.96|2.62%
2010-10-26|1.96|0.00%
2010-10-27|1.96|0.00%
2010-10-28|2.03|3.57%
2010-10-29|1.98|-2.46%
2010-11-01|2|1.01%
2010-11-02|1.91|-4.50%
2010-11-03|1.98|3.66%
2010-11-04|2|1.01%
2010-11-05|1.96|-2.00%
2010-11-08|2.2|12.24%
2010-11-09|2.18|-0.91%
2010-11-10|2.1|-3.67%
2010-11-11|2.33|10.95%
2010-11-12|2.18|-6.44%
2010-11-15|2.35|7.80%
2010-11-16|2.18|-7.23%
2010-11-17|2.35|7.80%
2010-11-18|2.13|-9.36%
2010-11-19|2.2|3.29%
2010-11-22|2.35|6.82%
2010-11-23|2.37|0.85%
2010-11-24|2.27|-4.22%
2010-11-25|2.35|3.52%
2010-11-26|2.65|12.77%
2010-11-29|2.35|-11.32%
2010-11-30|2.83|20.43%
2010-12-01|2.35|-16.96%
2010-12-02|2.35|0.00%
2010-12-03|2.22|-5.53%
2010-12-06|2.22|0.00%
2010-12-07|2.55|14.86%
2010-12-08|2.55|0.00%
2010-12-09|2.55|0.00%
2010-12-10|2.6|1.96%
2010-12-13|2.55|-1.92%
2010-12-14|2.7|5.88%
2010-12-15|2.92|8.15%
2010-12-16|2.9|-0.68%
2010-12-17|2.55|-12.07%
2010-12-20|3.01|18.04%
2010-12-21|2.7|-10.30%
2010-12-22|2.95|9.26%
2010-12-23|2.95|0.00%
2010-12-24|3.01|2.03%
2010-12-27|2.95|-1.99%
2010-12-28|2.7|-8.47%
2010-12-29|2.95|9.26%
2010-12-30|2.7|-8.47%
2010-12-31|2.95|9.26%
2011-01-04|2.7|-8.47%
2011-01-05|2.95|9.26%
2011-01-06|2.7|-8.47%
2011-01-07|2.7|0.00%
2011-01-10|3|11.11%
2011-01-11|3.08|2.67%
2011-01-12|2.9|-5.84%
2011-01-13|2.88|-0.69%
2011-01-14|2.95|2.43%
2011-01-17|2.95|0.00%
2011-01-18|2.95|0.00%
2011-01-19|2.9|-1.69%
2011-01-20|2.87|-1.03%
2011-01-21|2.9|1.05%
2011-01-24|2.9|0.00%
2011-01-25|2.93|1.03%
2011-01-26|2.9|-1.02%
2011-01-27|2.87|-1.03%
2011-01-28|2.87|0.00%
2011-01-30|3.05|6.27%
2011-01-31|3.1|1.64%
2011-02-01|3.2|3.23%
2011-02-09|3.12|-2.50%
2011-02-10|3.2|2.56%
2011-02-11|3.06|-4.38%
2011-02-12|3.15|2.94%
2011-02-14|3.2|1.59%
2011-02-15|2.95|-7.81%
